clubID,clubname,club_image,club_type,brandID,brand_name
7606,JB901 HB,https://www.usga.org/equipment/images/conf_clubs/R2018-0706.jpg,Hybrid,3,Kamui Works Japan Co Ltd
7609,JC501 HB,https://www.usga.org/equipment/images/conf_clubs/R2018-0380.jpg,Hybrid,3,Kamui Works Japan Co Ltd
7610,JC501 HB (Version 2),https://www.usga.org/equipment/images/conf_clubs/R2018-0221.jpg,Hybrid,3,Kamui Works Japan Co Ltd
7621,Proceed R Tour,https://www.usga.org/equipment/images/conf_clubs/R2012-0594.jpg,Hybrid,13,Justick Co Ltd
7623,Hybrids 100,https://www.usga.org/equipment/images/conf_clubs/R2023-0022.jpg,Hybrid,15,Decathlon SE
7624,Hybrids 100 (LH),https://www.usga.org/equipment/images/conf_clubs/R2023-0021.jpg,Hybrid,15,Decathlon SE
7631,Inesis 500 (Ladies),https://www.usga.org/equipment/images/conf_clubs/R2018-0135.jpg,Hybrid,15,Decathlon SE
7644,VKTR (Version 2),https://www.usga.org/equipment/images/conf_clubs/20160472.jpg,Hybrid,21,Ben Hogan Golf Equipment Co.
7649,20 XXIO,https://www.usga.org/equipment/images/conf_clubs/R2019-0555.jpg,Hybrid,23,Sumitomo Rubber Industries Ltd.
15232,PC Tour,https://www.usga.org/equipment/images/conf_clubs/20220430.jpg,Iron,316,KZG
7708,2024 XXIO Type 3 (Ladies),https://www.usga.org/equipment/images/conf_clubs/R2023-0407.jpg,Hybrid,23,Sumitomo Rubber Industries Ltd.
15233,Quad (Red),https://www.usga.org/equipment/images/conf_clubs/20200321.jpg,Iron,316,KZG
7726,Srixon Z,https://www.usga.org/equipment/images/conf_clubs/R2013-0416.jpg,Hybrid,23,Sumitomo Rubber Industries Ltd.
7733,Srixon Z H45,https://www.usga.org/equipment/images/conf_clubs/R2014-0402.jpg,Hybrid,23,Sumitomo Rubber Industries Ltd.
7737,Srixon Z H45 Tour,https://www.usga.org/equipment/images/conf_clubs/R2014-0401.jpg,Hybrid,23,Sumitomo Rubber Industries Ltd.
7739,Srixon Z H65,https://www.usga.org/equipment/images/conf_clubs/R2016-0473.jpg,Hybrid,23,Sumitomo Rubber Industries Ltd.
7744,Srixon Z H65 (LH),https://www.usga.org/equipment/images/conf_clubs/R2016-0474.jpg,Hybrid,23,Sumitomo Rubber Industries Ltd.
19784,"""You Bet"" Custom",https://imgs.2ndswing.com/images/clean-product/extralarge/BETT YOU BET PUT.jpg,Putter,334,Bettinardi Golf
7746,Srixon Z H85,https://www.usga.org/equipment/images/conf_clubs/R2018-0238.jpg,Hybrid,23,Sumitomo Rubber Industries Ltd.
7751,Srixon Z H85 (LH),https://www.usga.org/equipment/images/conf_clubs/R2018-0339.jpg,Hybrid,23,Sumitomo Rubber Industries Ltd.
7625,Inesis (Kids),https://www.usga.org/equipment/images/conf_clubs/R2019-0333.jpg,Driver,15,Decathlon SE
7795,Maxima U,https://www.usga.org/equipment/images/conf_clubs/R2022-0161.jpg,Hybrid,29,Ryoma Golf Co Ltd
7800,Ryoma U,https://www.usga.org/equipment/images/conf_clubs/R2014-0136.jpg,Hybrid,29,Ryoma Golf Co Ltd
7824,Halo,https://www.usga.org/equipment/images/conf_clubs/20050064.jpg,Hybrid,37,Cleveland Golf
7834,Halo XL Hy-Wood,https://www.usga.org/equipment/images/conf_clubs/20230464.jpg,Hybrid,37,Cleveland Golf
7836,Halo XL Hy-Wood (LH),https://www.usga.org/equipment/images/conf_clubs/20230465.jpg,Hybrid,37,Cleveland Golf
7838,HiBore  Hybrid,https://www.usga.org/equipment/images/conf_clubs/20060644.jpg,Hybrid,37,Cleveland Golf
7839,HiBore Hybrid,https://www.usga.org/equipment/images/conf_clubs/20060644.jpg,Hybrid,37,Cleveland Golf
7844,HiBore Xli,https://www.usga.org/equipment/images/conf_clubs/20080426.jpg,Hybrid,37,Cleveland Golf
